Date,Transaction ID,Payment Type,Shipping tier,Total revenue,
20251215,4211240,(not set),(not set),8818.99,
20260113,4245342,(not set),(not set),8811.980001,
20251215,4210646,(not set),(not set),8811.98,
20251215,4210653,(not set),(not set),8802.48,
20251124,4187450,(not set),(not set),8802.479999,
20260105,4236634,(not set),(not set),8802.479999,
20260112,4244150,(not set),(not set),8802.049998,
20251117,4180117,(not set),(not set),8799.990002,
20251104,4149654,(not set),(not set),8759.939999,
20251030,4135076,(not set),(not set),8734.979998,
20251231,4225143,(not set),(not set),8724.98,
20251129,4193237,(not set),(not set),8718.990002,
20260110,4241815,(not set),(not set),8717.970002,
20251025,4130706,(not set),(not set),8717.970001,
20251025,4130821,(not set),(not set),8717.970001,
20251211,4206924,(not set),(not set),8711.980002,
20251211,4207178,(not set),(not set),8711.980002,
20251229,4224014,(not set),(not set),8711.980001,
20251212,4208326,(not set),(not set),8711.979999,
20251130,4194855,(not set),(not set),8711.979998,
20251216,4212613,(not set),(not set),8711.979998,
20260101,4225808,(not set),(not set),8711.979998,
20251122,4185420,(not set),(not set),8709.970001,
20260104,4232790,(not set),(not set),8708.99,
20260103,4229057,(not set),(not set),8703.980002,
20251219,4216440,(not set),(not set),8702.480002,
20260102,4226141,(not set),(not set),8702.480002,
20251218,4215044,(not set),(not set),8702.480001,
20251220,4216974,(not set),(not set),8702.480001,
20251130,4194099,(not set),(not set),8702.479998,
20251212,4207210,(not set),(not set),8702.479998,
20251216,4212621,(not set),(not set),8702.479998,
20251221,4218438,(not set),(not set),8702.479998,
20260108,4240196,(not set),(not set),8702.479998,
20260109,4241096,(not set),(not set),8699.990002,
20251208,4202996,(not set),(not set),8699.99,
20251230,4224342,(not set),(not set),8699.99,
20260103,4229797,(not set),(not set),8699.989999,
20260104,4232786,(not set),(not set),8699.989999,
20260105,4237011,(not set),(not set),8691.979999,
20260105,4237013,(not set),(not set),8691.979999,
20251210,4205262,(not set),(not set),8689.899999,
20251220,4217306,(not set),(not set),8687.969998,
20260114,4245680,(not set),(not set),8661.980001,
20260115,4248186,(not set),(not set),8649.990001,
20260112,4244257,(not set),(not set),8649.99,
20260111,4242860,(not set),(not set),8649.989999,
20251215,4211583,(not set),(not set),8624.860001,
20251214,4210012,(not set),(not set),8612.989998,
20251028,4132673,(not set),(not set),8612.440001,
20251019,4125116,(not set),(not set),8611.98,
20251126,4189782,(not set),(not set),8611.979999,
20251210,4205355,(not set),(not set),8602.48,
20251107,4162883,(not set),(not set),8602.479998,
20251217,4213707,(not set),(not set),8599.979998,
20251029,4133536,(not set),(not set),8592.470002,
20260114,4246574,(not set),(not set),8582.960002,
20260115,4248040,(not set),(not set),8582.48,
20251029,4133863,(not set),(not set),8579.950002,
20251130,4194205,(not set),(not set),8569.959998,
20251130,4194216,(not set),(not set),8569.959998,
20251119,4182009,(not set),(not set),8568.970001,
20251130,4194428,(not set),(not set),8568.46,
20251030,4135093,(not set),(not set),8556.940001,
20251119,4182598,(not set),(not set),8549.98,
20251106,4162201,(not set),(not set),8518.87,
20251108,4168491,(not set),(not set),8517.969999,
20260105,4236403,(not set),(not set),8514.949999,
20251022,4128493,(not set),(not set),8513.999999,
20251119,4182810,(not set),(not set),8511.980002,
20251108,4168216,(not set),(not set),8511.980001,
20251110,4171387,(not set),(not set),8511.979999,
20251107,4162573,(not set),(not set),8505.979999,
20251106,4162177,(not set),(not set),8503.979999,
20251106,4162188,(not set),(not set),8503.979999,
20251106,4162208,(not set),(not set),8503.979999,
20251103,4138030,(not set),(not set),8502.480001,
20251107,4165342,(not set),(not set),8502.480001,
20251107,4165386,(not set),(not set),8502.480001,
20251107,4166241,(not set),(not set),8502.480001,
20251110,4172076,(not set),(not set),8502.480001,
20251110,4172144,(not set),(not set),8502.480001,
20251111,4174420,(not set),(not set),8502.479998,
20251109,4170448,(not set),(not set),8499.990001,
20251106,4162002,(not set),(not set),8499.989998,
20251114,4176975,(not set),(not set),8499.989998,
20251023,4129103,(not set),(not set),8478.399999,
20251029,4133917,(not set),(not set),8422.980001,
20251218,4214605,(not set),(not set),8418.96,
20251030,4134292,(not set),(not set),8417.970001,
20251030,4134768,(not set),(not set),8417.970001,
20251029,4133580,(not set),(not set),8417.969998,
20251111,4173849,(not set),(not set),8414.990002,
20251029,4133881,(not set),(not set),8408.890002,
20251212,4207884,(not set),(not set),8405.959999,
20251030,4134598,(not set),(not set),8402.480002,
20251030,4134605,(not set),(not set),8402.480002,
20251029,4133915,(not set),(not set),8402.480001,
20251128,4192475,(not set),(not set),8402.430001,
20251029,4133889,(not set),(not set),8399.990001,
20251107,4162503,(not set),(not set),8399.96,
20251216,4212495,(not set),(not set),8399.930001,
20251226,4221590,(not set),(not set),8392.960001,
20251101,4136868,(not set),(not set),8361.989999,
20251127,4191712,(not set),(not set),8319.939999,
20251126,4190238,(not set),(not set),8311.979998,
20251107,4166551,(not set),(not set),8308.889999,
20260112,4243813,(not set),(not set),8303.98,
20251105,4150802,(not set),(not set),8302.480001,
20251112,4175633,(not set),(not set),8302.480001,
20251107,4165507,(not set),(not set),8302.479999,
20251107,4166463,(not set),(not set),8302.479999,
20251104,4149827,(not set),(not set),8302.479998,
20251113,4176671,(not set),(not set),8299.990001,
20251105,4150335,(not set),(not set),8299.99,
20251226,4221522,(not set),(not set),8291.980002,
20251125,4188714,(not set),(not set),8291.969998,
20251210,4205539,(not set),(not set),8259.899999,
20251104,4149652,(not set),(not set),8254.980002,
20251027,4131910,(not set),(not set),8249.900001,
20251126,4190205,(not set),(not set),8217.969999,
20251029,4134235,(not set),(not set),8211.97,
20251020,4126477,(not set),(not set),8199.490001,
20251101,4136454,(not set),(not set),8171.97,
20251204,4198448,(not set),(not set),8157.979998,
20260105,4236811,(not set),(not set),8157.969999,
20251203,4197201,(not set),(not set),8155.970001,
20260105,4235568,(not set),(not set),8149.980001,
20251128,4192724,(not set),(not set),8133.88,
20251026,4130937,(not set),(not set),8117.970002,
20251202,4197011,(not set),(not set),8117.97,
20260113,4245400,(not set),(not set),8115.969999,
20251027,4132421,(not set),(not set),8111.980002,
20251201,4195335,(not set),(not set),8111.979999,
20251025,4130824,(not set),(not set),8107.989999,
20251024,4130265,(not set),(not set),8107.989998,
20251126,4189589,(not set),(not set),8106.460001,
20251202,4196133,(not set),(not set),8102.480001,
20251105,4161124,(not set),(not set),8102.479999,
20251105,4161131,(not set),(not set),8102.479999,
20251105,4161194,(not set),(not set),8102.479999,
20251105,4161211,(not set),(not set),8102.479999,
20251110,4171321,(not set),(not set),8102.479998,
20251031,4135531,(not set),(not set),8099.99,
20251103,4138726,(not set),(not set),8099.989999,
20251105,4150303,(not set),(not set),8099.989998,
20251103,4138226,(not set),(not set),8092.469999,
20260112,4244343,(not set),(not set),8050.429998,
20251229,4223470,(not set),(not set),8049.98,
20251223,4220110,(not set),(not set),8038.959999,
20251227,4222030,(not set),(not set),8037.45,
20251017,4120656,(not set),(not set),8020.759999,
20251202,4196728,(not set),(not set),8017.97,
20251216,4212960,(not set),(not set),8017.97,
20251031,4135539,(not set),(not set),8014.88,
20260105,4237103,(not set),(not set),8013.989999,
20251105,4161093,(not set),(not set),8012.880001,
